name,method,seed,layer,val_auc,threshold,response_auc,response_ap,response_f1,response_balanced_accuracy,response_precision,response_recall,token_auc_global,token_ap_global,within_error_response_auc,within_error_response_ap,top10_precision,top10_recall,span_hit_at_top10,token_positive_fraction_in_error_responses,local_n_responses,local_n_spans
hami_ori_42,hami_ori,42,16,0.589,0.1687866896390915,0.598125,0.4067888452160469,0.42,0.498125,0.28,0.84,0.542818086655659,0.03775827586526984,0.5547500310109718,0.223638107154957,0.18697713576745836,0.1418607824675864,0.5483870967741935,0.13202113975621352,25,31
hami_ori_43,hami_ori,43,16,0.6699999999999999,0.1891571581363678,0.5743750000000001,0.45481588745590235,0.4222222222222222,0.520625,0.2923076923076923,0.76,0.5531763420590466,0.038065874390343264,0.567339596707046,0.25500226491695654,0.21169153964315254,0.16608823972485143,0.5806451612903226,0.13202113975621352,25,31
hami_ori_44,hami_ori,44,16,0.593,0.183892622590065,0.5787500000000001,0.42259478710087445,0.4583333333333333,0.5571875,0.30985915492957744,0.88,0.5152526758654096,0.03340448720573376,0.5797140663183735,0.21951692716512375,0.1722402615305841,0.14865974549126684,0.5483870967741935,0.13202113975621352,25,31
last_linear,last_linear,,24,0.551,0.0003826676410411375,0.569375,0.4507727779264612,0.4339622641509434,0.506875,0.2839506172839506,0.92,0.5456031088003597,0.039260196703698354,0.5166518848876956,0.1635160119622891,0.1328449919256371,0.11031693232568024,0.7096774193548387,0.13202113975621352,25,31
mean_linear,mean_linear,,16,0.567,0.09384106008997659,0.5806250000000002,0.41342432835540627,0.42718446601941745,0.5025,0.28205128205128205,0.88,0.5368898055779453,0.037410727925587195,0.5547607046742555,0.2041846402192383,0.16932634211666467,0.13842721238010317,0.6451612903225806,0.13202113975621352,25,31
mil_max_42,mil_max,42,16,0.71,0.3893453776836395,0.575625,0.3760751031895842,0.43478260869565216,0.5328125,0.29850746268656714,0.8,0.5313811910380408,0.03721267865951211,0.5383219662417978,0.19229148644012947,0.13412759462759463,0.10423358181646034,0.6129032258064516,0.13202113975621352,25,31
mil_max_43,mil_max,43,16,0.621,0.2226371318101883,0.5987500000000001,0.39439143666280807,0.42105263157894735,0.5465625000000001,0.3137254901960784,0.64,0.5475656548545738,0.03789219319289411,0.5082572708907906,0.19272400465709183,0.16179498995628028,0.12487500565929538,0.5806451612903226,0.13202113975621352,25,31
mil_max_44,mil_max,44,8,0.631,0.5375158190727234,0.5275,0.3362431003905903,0.4,0.4928125,0.27692307692307694,0.72,0.5169541971928052,0.03689207679165473,0.4927382619450087,0.17713942616627143,0.14524059632124148,0.11044087721543981,0.6774193548387096,0.13202113975621352,25,31
mil_mean_42,mil_mean,42,16,0.606,0.34000298380851746,0.580625,0.4414265897820709,0.4691358024691358,0.5909375,0.3392857142857143,0.76,0.5433909138988635,0.03719621321357591,0.5530262414515263,0.2121951600708193,0.1514289062192288,0.13761955092051573,0.5806451612903226,0.13202113975621352,25,31
mil_mean_43,mil_mean,43,16,0.597,0.1628788560628891,0.6012500000000001,0.46414281517472394,0.42424242424242425,0.5059374999999999,0.28378378378378377,0.84,0.5435873029464976,0.042449994974680036,0.5758342857801837,0.2317232078497979,0.16125646933711452,0.17358833086258385,0.5806451612903226,0.13202113975621352,25,31
mil_mean_44,mil_mean,44,16,0.624,0.19320088624954224,0.5543750000000001,0.41253337532396067,0.43010752688172044,0.525,0.29411764705882354,0.8,0.5130033542297898,0.031975890582943416,0.5401285101502943,0.19823179460825063,0.15411117019181536,0.14601084340336265,0.6129032258064516,0.13202113975621352,25,31
mil_topk_42,mil_topk,42,16,0.6110000000000001,0.314405620098114,0.606875,0.41253633010600227,0.43373493975903615,0.5475,0.3103448275862069,0.72,0.5035529974304991,0.03384491182691277,0.5145502962783319,0.19841685286977578,0.12631868131868132,0.10526855748230936,0.45161290322580644,0.13202113975621352,25,31
mil_topk_43,mil_topk,43,16,0.663,0.2052260935306549,0.5843750000000001,0.4363939738680901,0.43373493975903615,0.5475,0.3103448275862069,0.72,0.5554788200772277,0.03920600706813218,0.5695657285919562,0.24230580304867239,0.21492591279688053,0.1709209834517128,0.6451612903225806,0.13202113975621352,25,31
mil_topk_44,mil_topk,44,16,0.597,0.15560925006866455,0.57625,0.434354647915059,0.46808510638297873,0.5728125,0.3188405797101449,0.88,0.5189543870665765,0.033604803453288104,0.5571846205594951,0.21424812608334107,0.19524859190988222,0.15736953303254694,0.6451612903225806,0.13202113975621352,25,31
response_length,response_length,,,0.523,0.4666862856519844,0.4703125,0.30184783707781465,0.43859649122807015,0.5,0.2808988764044944,1.0,,,,,,,,,,
shuffled_label_mil_topk_42,shuffled_label_mil_topk,42,16,0.576,0.3939543068408966,0.43125,0.24462199564677692,0.43859649122807015,0.5,0.2808988764044944,1.0,0.4581637551654249,0.028576124504807454,0.4856499659062154,0.15819391420039444,0.10501654259718775,0.0790020870866,0.5161290322580645,0.13202113975621352,25,31
tfidf_text,tfidf_text,,,0.514,0.442268396150954,0.64875,0.4731317813397547,0.47191011235955055,0.5840624999999999,0.328125,0.84,,,,,,,,,,
token_surprisal,token_surprisal,,,0.5579999999999999,4.4692559242248535,0.53625,0.36004059199287924,0.45652173913043476,0.5606249999999999,0.31343283582089554,0.84,0.5489244519566616,0.03933348636101956,0.561323814402551,0.20290423081502762,0.18770558115719407,0.1707356835562898,0.7741935483870968,0.13202113975621352,25,31
