n,errors,bag_auc,bag_ap,bag_f1,global_token_auc,global_top10_precision,global_top10_recall,global_error_coverage,local_auc,local_ap,top10_precision,top10_recall,error_coverage,fact_auc,fact_top1,fact_chance,n_local_mixed,n_fact_mixed,alert_threshold,validation_clean_answer_alarm,test_clean_answer_alarm,test_error_answer_recall,alert_token_precision,alert_error_token_recall,name,method,seed,val_auc,supervision,layer_index,threshold
89,25,0.543125,0.4211548054097829,0.3902439024390244,0.5931358770213645,0.0467741935483871,0.14392059553349876,0.0325,0.6073761698670882,0.25587804266594116,0.2158297884910788,0.18757347642317762,0.13202113975621352,,,,25,0,0.9996871948242188,0.025,0.140625,0.2,0.03333333333333333,0.0024813895781637717,after_42,after,42,0.638,bag labels only,2,0.3822447657585144
89,25,0.566875,0.46402411436321395,0.3783783783783784,0.5674437633395114,0.05,0.15384615384615385,0.0325,0.5683389604297711,0.2607754925038445,0.23712704320768835,0.19103605364563678,0.13202113975621352,,,,25,0,0.9923698902130127,0.025,0.109375,0.2,0.05,0.004962779156327543,after_43,after,43,0.6639999999999999,bag labels only,2,0.344296395778656
89,25,0.616875,0.4643238837351587,0.417910447761194,0.5620060929210797,0.04596774193548387,0.141439205955335,0.0325,0.5646884236892546,0.23331134154931565,0.1908779589586041,0.1503035610616214,0.13202113975621352,,,,25,0,0.9999032020568848,0.025,0.046875,0.12,0.08333333333333333,0.0024813895781637717,after_44,after,44,0.606,bag labels only,2,0.522431492805481
89,25,0.5475,0.41820328825634595,0.34615384615384615,0.5749040651395273,0.043548387096774194,0.13399503722084366,0.0325,0.6034241342082787,0.25202296360212717,0.19384126984126987,0.17517927867126512,0.13202113975621352,,,,25,0,0.9998319149017334,0.025,0.109375,0.16,0.043478260869565216,0.0024813895781637717,before_42,before,42,0.661,bag labels only,2,0.7050703763961792
89,25,0.625,0.5100057095171264,0.417910447761194,0.5617833325163384,0.04112903225806452,0.12655086848635236,0.0325,0.5553294332115756,0.18983072602492082,0.1310394068297294,0.11199619270738141,0.13202113975621352,,,,25,0,0.9999595880508423,0.025,0.109375,0.16,0.0,0.0,before_43,before,43,0.672,bag labels only,0,0.5921471118927002
89,25,0.58375,0.4551832847029682,0.4225352112676056,0.5996328486588148,0.05,0.15384615384615385,0.0325,0.5738855914570726,0.25050684501884046,0.21484044271141045,0.16360043480970834,0.13202113975621352,,,,25,0,0.9999748468399048,0.025,0.03125,0.04,0.0,0.0,before_44,before,44,0.61,bag labels only,2,0.509588897228241
89,25,0.589375,0.3751561003163475,0.4375,0.6576553154003968,0.08870967741935484,0.2729528535980149,0.0325,0.6598482819742186,0.27816087502941683,0.2473719721139076,0.2288450742344111,0.13202113975621352,,,,25,0,0.9973043391609441,0.025,0.0625,0.04,0.07692307692307693,0.0024813895781637717,few_local_100_42,few_local_100,42,0.5589999999999999,local labels for 240/240 training responses; validation uses bag labels only,0,0.6748960036443806
89,25,0.589375,0.3751561003163475,0.4375,0.6576553154003968,0.08870967741935484,0.2729528535980149,0.0325,0.6598482819742186,0.27816087502941683,0.2473719721139076,0.2288450742344111,0.13202113975621352,,,,25,0,0.9973043385758711,0.025,0.0625,0.04,0.07692307692307693,0.0024813895781637717,few_local_100_43,few_local_100,43,0.5589999999999999,local labels for 240/240 training responses; validation uses bag labels only,0,0.6748959900978886
89,25,0.589375,0.3751561003163475,0.4375,0.65765490173205,0.08870967741935484,0.2729528535980149,0.0325,0.6598482819742186,0.27816087502941683,0.2473719721139076,0.2288450742344111,0.13202113975621352,,,,25,0,0.9973043912386299,0.025,0.0625,0.04,0.07692307692307693,0.0024813895781637717,few_local_100_44,few_local_100,44,0.5589999999999999,local labels for 240/240 training responses; validation uses bag labels only,0,0.674895064608534
89,25,0.5700000000000001,0.3359166293664231,0.4155844155844156,0.5965633261086157,0.0467741935483871,0.14392059553349876,0.0325,0.6156358241141104,0.2328736120825971,0.2162800031509709,0.17580969769584504,0.13202113975621352,,,,25,0,0.9209967769859729,0.025,0.03125,0.04,0.0,0.0,few_local_10_42,few_local_10,42,0.653,local labels for 24/240 training responses; validation uses bag labels only,0,0.4920387288048803
