n,errors,bag_auc,bag_ap,bag_f1,name,method,seed,val_auc,supervision,layer_index,threshold
390,175,0.8752823920265781,0.8470778530748158,0.7283950617283951,after_42,after,42,0.8723911747167562,bag labels only,2,0.9605608582496643
390,175,0.8491694352159468,0.811858981621749,0.770949720670391,after_43,after,43,0.8743176918489977,bag labels only,3,0.8436456322669983
390,175,0.8803986710963455,0.8518231514915963,0.7842105263157895,after_44,after,44,0.8744553002155864,bag labels only,2,0.6529034376144409
390,175,0.8381926910299005,0.7963134385901466,0.7531806615776081,before_42,before,42,0.8382184303472316,bag labels only,2,0.48513472080230713
390,175,0.8082923588039866,0.792504688828194,0.7304785894206549,before_43,before,43,0.8353286546488693,bag labels only,3,0.26655128598213196
390,175,0.8239468438538207,0.8083964176567262,0.7475728155339806,before_44,before,44,0.8412916838677125,bag labels only,3,0.31213557720184326
390,175,0.7937541528239203,0.7275173699139059,0.7045454545454546,last_linear,last_linear,,0.8119811017843218,bag labels only,2,0.5147196713715063
390,175,0.5750697674418604,0.5045908649256664,0.6194690265486725,length,length,,0.6040319251410486,bag labels only,,0.43096425928345333
390,175,0.8243455149501662,0.7866944817994121,0.7239583333333334,mean_linear,mean_linear,,0.8474840603642035,bag labels only,2,0.4327622954115018
390,175,0.7834418604651163,0.6960962234168611,0.6205673758865248,shuffled_support,shuffled,,0.5060318334021374,bag labels only,0,0.38033002614974976
390,175,0.5559867109634551,0.49310879188067375,0.6187050359712231,text,text,,0.5609146369432595,bag labels only,,0.3223707211374985
390,175,0.8302724252491693,0.7857089962318461,0.7129186602870813,uncertainty_42,uncertainty,42,0.8684464015412137,bag labels only,0,0.3181474506855011
390,175,0.8302458471760797,0.7858675908042865,0.7196029776674938,uncertainty_43,uncertainty,43,0.8707857437732214,bag labels only,0,0.36769238114356995
390,175,0.8278803986710963,0.7770963902821103,0.709832134292566,uncertainty_44,uncertainty,44,0.8667492316866199,bag labels only,0,0.3670734465122223
390,175,0.8063255813953489,0.7311461022777601,0.7194244604316546,nll_topk,nll_topk,,0.8446860235769001,no fitted weights; validation threshold,,0.1624334454536438
390,175,0.8115348837209302,0.7495689992743384,0.7210526315789474,nll_mean,nll_mean,,0.8492270996743269,no fitted weights; validation threshold,,0.1289999932050705
