n,errors,bag_auc,bag_ap,bag_f1,name,method,seed,val_auc,supervision,layer_index,threshold
345,270,0.7895308641975309,0.9316898788879187,0.8739205526770294,after_42,after,42,0.7947283668107467,bag labels only,2,0.08954934775829315
345,270,0.8105679012345679,0.9394797369378498,0.8914858096828047,after_43,after,43,0.7987117552334944,bag labels only,1,0.04518617317080498
345,270,0.7657283950617285,0.9212760428847993,0.8566433566433567,after_44,after,44,0.7965929316043733,bag labels only,2,0.17242874205112457
345,270,0.7621728395061728,0.9188487338063491,0.8766666666666667,before_42,before,42,0.7750656835325027,bag labels only,3,0.02548559382557869
345,270,0.7795061728395062,0.9202386916659554,0.8908450704225352,before_43,before,43,0.8030341554369014,bag labels only,2,0.17903736233711243
345,270,0.7598518518518519,0.9065012547749377,0.8717047451669596,before_44,before,44,0.802695143656242,bag labels only,2,0.16515642404556274
345,270,0.725530864197531,0.8957908590812689,0.8722316865417377,last_linear,last_linear,,0.7671836596321722,bag labels only,2,0.1582416590752057
345,270,0.5313827160493827,0.8015506741668867,0.8780487804878049,length,length,,0.6166200525468261,bag labels only,,0.46945827237081666
345,270,0.7774814814814816,0.9208289022414954,0.8915254237288136,mean_linear,mean_linear,,0.802186625985253,bag labels only,1,0.1516882962639668
345,270,0.5213827160493827,0.8028651284230738,0.8743882544861338,shuffled_support,shuffled,,0.5180947537926943,bag labels only,0,0.3803732097148895
345,270,0.6758765432098766,0.8726777987686638,0.87893864013267,text,text,,0.6624713958810068,bag labels only,,0.3052370092800929
345,270,0.790320987654321,0.9328077982870353,0.887719298245614,uncertainty_42,uncertainty,42,0.8061700144080006,bag labels only,0,0.29170191287994385
345,270,0.791358024691358,0.9334365507059594,0.8842105263157894,uncertainty_43,uncertainty,43,0.8087973557081108,bag labels only,0,0.23221801221370697
345,270,0.7905679012345679,0.9335651520758882,0.8846153846153846,uncertainty_44,uncertainty,44,0.8062547673531656,bag labels only,0,0.2614767551422119
345,270,0.7523950617283951,0.910544491110972,0.8974789915966387,nll_topk,nll_topk,,0.7544707178574457,no fitted weights; validation threshold,,0.6356413960456848
345,270,0.7471604938271605,0.8996861522601777,0.8858603066439523,nll_mean,nll_mean,,0.7001440800067802,no fitted weights; validation threshold,,0.14857733249664307
