MODEL LOADED D:\Projects\Multi_Agent_Graph_Analysis\prelab\models\Qwen2.5-7B-Instruct-bnb-4bit GPU GiB 5.197
DONE generate 1 400 ragognize_train_0158__complete seconds 1.263
DONE generate 2 400 ragognize_train_0158__partial seconds 1.096
DONE generate 3 400 ragognize_train_0287__complete seconds 0.865
DONE generate 4 400 ragognize_train_0287__partial seconds 1.408
DONE generate 5 400 ragognize_train_0302__complete seconds 1.298
DONE generate 6 400 ragognize_train_0302__partial seconds 1.432
DONE generate 7 400 ragognize_train_0313__complete seconds 1.173
DONE generate 8 400 ragognize_train_0313__partial seconds 1.031
DONE generate 9 400 ragognize_train_0379__complete seconds 1.259
DONE generate 10 400 ragognize_train_0379__partial seconds 1.164
DONE generate 11 400 ragognize_train_0519__complete seconds 1.058
DONE generate 12 400 ragognize_train_0519__partial seconds 1.606
DONE generate 13 400 ragognize_train_0580__complete seconds 1.294
DONE generate 14 400 ragognize_train_0580__partial seconds 1.23
DONE generate 15 400 ragognize_train_0623__complete seconds 1.266
DONE generate 16 400 ragognize_train_0623__partial seconds 1.055
DONE generate 17 400 ragognize_train_0656__complete seconds 1.144
DONE generate 18 400 ragognize_train_0656__partial seconds 1.047
DONE generate 19 400 ragognize_train_0692__complete seconds 0.914
DONE generate 20 400 ragognize_train_0692__partial seconds 0.819
DONE generate 21 400 ragognize_train_0777__complete seconds 1.04
DONE generate 22 400 ragognize_train_0777__partial seconds 1.251
DONE generate 23 400 ragognize_train_0860__complete seconds 1.321
DONE generate 24 400 ragognize_train_0860__partial seconds 1.459
DONE generate 25 400 ragognize_train_0867__complete seconds 1.196
DONE generate 26 400 ragognize_train_0867__partial seconds 1.023
DONE generate 27 400 ragognize_train_0903__complete seconds 0.814
DONE generate 28 400 ragognize_train_0903__partial seconds 1.114
DONE generate 29 400 ragognize_train_0939__complete seconds 0.991
DONE generate 30 400 ragognize_train_0939__partial seconds 0.987
DONE generate 31 400 ragognize_train_0988__complete seconds 1.111
DONE generate 32 400 ragognize_train_0988__partial seconds 1.049
DONE generate 33 400 ragognize_train_1041__complete seconds 1.408
DONE generate 34 400 ragognize_train_1041__partial seconds 1.269
DONE generate 35 400 ragognize_train_1122__complete seconds 1.393
DONE generate 36 400 ragognize_train_1122__partial seconds 1.613
DONE generate 37 400 ragognize_train_1128__complete seconds 0.656
DONE generate 38 400 ragognize_train_1128__partial seconds 1.371
DONE generate 39 400 ragognize_train_1149__complete seconds 1.105
DONE generate 40 400 ragognize_train_1149__partial seconds 1.101
DONE generate 41 400 ragognize_train_1153__complete seconds 1.143
DONE generate 42 400 ragognize_train_1153__partial seconds 1.162
DONE generate 43 400 ragognize_train_1180__complete seconds 1.268
DONE generate 44 400 ragognize_train_1180__partial seconds 1.263
DONE generate 45 400 ragognize_train_1187__complete seconds 1.032
DONE generate 46 400 ragognize_train_1187__partial seconds 1.054
DONE generate 47 400 ragognize_train_1298__complete seconds 1.285
DONE generate 48 400 ragognize_train_1298__partial seconds 1.273
DONE generate 49 400 ragognize_train_1307__complete seconds 1.436
DONE generate 50 400 ragognize_train_1307__partial seconds 1.356
DONE generate 51 400 ragognize_train_1347__complete seconds 1.22
DONE generate 52 400 ragognize_train_1347__partial seconds 1.231
DONE generate 53 400 ragognize_train_1593__complete seconds 0.939
DONE generate 54 400 ragognize_train_1593__partial seconds 0.946
DONE generate 55 400 ragognize_train_1617__complete seconds 1.546
DONE generate 56 400 ragognize_train_1617__partial seconds 1.309
DONE generate 57 400 ragognize_train_1681__complete seconds 1.112
DONE generate 58 400 ragognize_train_1681__partial seconds 1.193
